Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
SuperFocus,superfocus.ai,"SuperFocus develops artificial intelligence solutions using large language models (LLMs) for the enterprise sector. The company offers AI co-pilots that process and analyze internal company data to improve performance and decision-making. Its services cater to various industries, such as insurance, finance, and corporate travel. SuperFocus was founded in 2020 and is based in Ann Arbor, Michigan.",,Seed VC,19/05/2023,,"Metaplanet, AAF Management",,,,,,270,22/02/2024,United States,,,,,
Trippy,tr1ppy.com,"Trippy is a content studio. It focuses on the entertainment sector, with a particular emphasis on three-dimensional computer graphics (3DCG) and artificial intelligence (AI)--based services. The company develops unique intellectual properties and services centered around generative AI. The primary market for Trippy's offerings is the entertainment industry. It was founded in 2023 and is based in Tokyo, Japan.",Virtual worlds & gaming,Incubator/Accelerator - II,07/12/2023,,"Microsoft for Startups Founders Hub, W Consumer Bootcamp",,,,,,379,22/02/2024,Japan,Virtual worlds & game assets,,,,
Ziotag,ziotag.com,"Ziotag is a generative AI-powered video platform that enhances accessibility in the digital media space. The company specializes in transforming video and audio content to be accessible and inclusive for individuals with visual, hearing, and neurological disabilities, by providing features such as transcription, key concept detection, segmentation, titling, and actionable tables of contents. Ziotag primarily serves the education, enterprise, and government sectors by making their media content more accessible and engaging. It was founded in 2019 and is based in New York, New York.",Horizontal applications,Incubator/Accelerator,23/03/2020,0.5,"Michael Puscar, Newchip",,,,,,199,22/02/2024,United States,,,,,
Xinapse,xinapse.ai,"Xinapse specializes in generative AI technologies within the artificial intelligence sector. The company offers solutions that enable human-AI interaction through natural language processing, chatbot services, and voice synthesis, aiming to enhance communication and understanding. Xinapse primarily serves industries that require advanced AI communication and interaction capabilities. It was founded in 2017 and is based in Seoul, South Korea.",Horizontal applications,Seed - II,14/12/2021,0.5,"InfoBank, TIPS Program, Shinhan Capital, Shinhan Future's Lab",,,,,,176,22/02/2024,South Korea,,,,,
Superpowered AI,superpowered.ai,"Superpowered AI focuses on providing an API for Retrieval Augmented Generation (RAG) within the artificial intelligence sector. The company offers a platform that allows for the integration of large language models (LLMs) with user data to deliver accurate responses that include citations, accessible through an API or a user-friendly interface. It was founded in 2023 and is based in Salt Lake City, Utah.",Generative AI infrastructure,Convertible Note,01/09/2022,0.5,Y Combinator,,0.5,,,,298,22/02/2024,United States,,,,,
quacks.ai,quacks.ai,"Quacks.ai specializes in automated software testing using artificial intelligence, operating within the software quality assurance sector. The company offers a platform that automates the creation and execution of software test cases, as well as continuous monitoring of software quality, without the need for coding. Quacks.ai's solutions are designed to integrate with various development tools and support a wide range of operating systems and devices. It was founded in 2023 and is based in Lisboa, Portugal.",Horizontal applications,Incubator/Accelerator,29/06/2023,0.13,"Antler Amsterdam, Startup Lisboa",,,,,,285,22/02/2024,Portugal,Developer tools,,,,
Ollama,ollama.com,"Ollama specializes in large language models (LLMs) within the artificial intelligence (AI) sector. The company offers solutions for running, customizing, and deploying these models locally on various operating systems. Ollama provides tools that cater to a diverse range of technical needs. It was founded in 2023 and is based in Toronto, Canada.",Generative AI infrastructure,Convertible Note,01/01/2021,0.5,Y Combinator,,0.5,,,,228,22/02/2024,Canada,LLMOps,,,,
LogSpend,logspend.com,"LogSpend optimizes the cost and performance of generative artificial intelligence (AI) applications, operating within the artificial intelligence and cloud infrastructure sectors. The company offers a software development kit (SDK) that aids generative AI applications in selecting the most cost-effective and high-performing language model, as well as a caching service powered by embeddings for reusing previous results and optimizing prompts. It is based in Tallinn, Estonia.",Generative AI infrastructure,Seed,13/09/2023,0.12,Techstars Berlin Accelerator,,0.12,,,,342,22/02/2024,Estonia,LLMOps,,,,
GradientJ,gradientj.com,"GradientJ specializes in providing a platform and services for building large language model (LLM) native applications within the artificial intelligence sector. The company offers a development platform that enables the orchestration of multiple models and integrations, as well as a solutions service to assist teams in creating their first LLM applications. GradientJ primarily caters to teams involved in the ideation, construction, and management of innovative LLM applications. It was founded in 2021 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,01/01/2023,0.5,Y Combinator,,0.5,,,,343,22/02/2024,United States,LLMOps,,,,
Forefront,forefront.ai,"Forefront specializes in providing an open-source AI platform for developers, focusing on the artificial intelligence and machine learning industry. The company offers services that enable users to fine-tune and run open-source models on their data, evaluate model performance, and integrate AI capabilities via an API. Forefront's platform is designed to cater to developers and businesses looking to build and deploy AI models with greater control and transparency. It was founded in 2021 and is based in New York, New York.",Generative AI infrastructure,Convertible Note,23/06/2023,0.25,AI Grant,,0.25,,,,262,22/02/2024,United States,LLMOps,,,,
Ecomtent,ecomtent.ai,"Ecomtent specializes in AI-driven ecommerce optimization, focusing on enhancing product listings across various online marketplaces. The company offers solutions to automate ecommerce merchandising, create AI-generated product images and infographics, and optimize product copy for improved search visibility and conversion rates. Ecomtent's technology is designed to serve the ecommerce industry, particularly vendors and sellers on platforms like Amazon and eBay. It was founded in 2022 and is based in Toronto, Ontario.",Retail & supply chain,Pre-Seed - II,10/09/2024,0.97,"Techstars Future of Ecommerce, MaRS Investment Accelerator Fund",,0.85,,,,388,22/02/2024,Canada,,,,,
dstack,dstack.ai,"dstack is an open-source AI container orchestration engine that specializes in the development, training, and deployment of AI models across cloud and on-premises infrastructures. The platform offers a user-friendly interface for managing clusters, provisioning developer environments, scheduling tasks, and deploying scalable web apps and models. dstack primarily serves the AI and machine learning sectors by providing tools and services that facilitate the efficient use of computational resources for AI workloads. It was founded in 2022 and is based in Munich, Germany.",Generative AI infrastructure,Seed VC,24/08/2023,0.53,"Rheingau Founders, Tensor Ventures",,0.53,,,,406,22/02/2024,Germany,LLMOps,,,,
Amygda,amygdalabs.com,"Amygda specializes in artificial intelligence solutions for the transport industry, focusing on equipment health monitoring and maintenance optimization. The company's main offerings include AI-driven diagnostic tools, maintenance resource allocation insights, and decision support systems for service engineers. It primarily serves the aviation and rail sectors, providing AI solutions that integrate with a wide range of equipment from various manufacturers. The company was founded in 2018 and is based in Derby, United Kingdom.",Industrials,Incubator/Accelerator,02/10/2024,0.42,"BrightCap Ventures, Aerospace Xelerated, AEI HorizonX, Tawazun Economic Council, Leonardo Accelerator, Plug and Play Alberta",,,,,,369,22/02/2024,United Kingdom,,,,,
Montreal Institute for Learning Algorithms,mila.quebec,"Montreal Institute for Learning Algorithms specializes in artificial intelligence research and education within the technology sector. The institute offers fundamental AI research, professional training programs, and applied machine learning research services. It collaborates with various industries to foster AI adoption and innovation. It was founded in 1993 and is based in Montreal, Quebec.",Generative AI infrastructure,Grant,13/04/2023,23.42,"Google, SCALE AI, Government of Quebec",,15.74,,,,,22/02/2024,Canada,Research institute,,,,
ClearOPS,clearops.io,"ClearOPS is a company specializing in providing solutions for privacy and cybersecurity challenges within the business sector. Their main offerings include an AI governance program that facilitates cross-functional collaboration and automates assessments for privacy, security, and vendor risk management. ClearOPS primarily serves sectors that require robust privacy and cybersecurity compliance, such as legal, sales, and information security industries. It was founded in 2017 and is based in New York, New York.",Horizontal applications,Incubator/Accelerator - II,10/10/2023,0.58,"German Accelerator Tech, Element 46, Fuel Accelerator AI/ML Program",,,,,,353,22/02/2024,United States,,,,,
Zep AI,getzep.com,"Zep AI specializes in artificial intelligence (AI) assistants with long-term memory capabilities within the technology domain. The company provides solutions for recalling, understanding, and extracting data from chat histories to power personalized AI experiences. Its offerings include intent and emotion classification, structured data extraction from dialog, and tools for managing user privacy and chat sessions. The company was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,01/01/2024,2.3,Y Combinator,,0.5,,,,453,22/02/2024,United States,,,,,
Anima,myanima.ai,"Anima is a company focused on artificial intelligence in the personal development and mental wellness sector. It offers a virtual AI friend designed to provide companionship and help users improve their communication and relationship skills. The company's services are primarily utilized by individuals seeking personal growth and social interaction. It was founded in 2020 and is based in London, England.",Horizontal applications,,,,,,,,,,524,22/02/2024,United Kingdom,AI assistants & HMIs,,,,
Phind,phind.com,"Phind specializes in providing direct answers through its search engine platform, utilizing the fields of generative AI and large language models. The company's search engine is designed to simplify information retrieval by directly providing the answers users are searching for, without the need for further navigation or research. Phind was formerly known as Hello. It was founded in 2022 and is based in San Francisco, California.",,Convertible Note,08/09/2022,0.5,"A.Capital, Y Combinator",,0.5,,,,273,15/03/2024,United States,,,,,
Objective,objective.inc,"Objective specializes in AI-native search solutions for websites and applications. Its main offering is a modern search API that understands natural language, processes inconsistent or incomplete data, and provides semantic search capabilities. The company primarily caters to businesses looking to enhance their data science capabilities and improve user search experiences. Objective was formerly known as Kailua Labs. It was founded in 2021 and is based in San Francisco, California.",,Seed VC,18/10/2023,13,"Belal Badat Ventures, Georg Bauser, Matrix Partners, Mike Cafarella, Two Sigma Ventures, Vipul Ved Prakash",,13,,,,621,15/03/2024,United States,,,,,
Ema,ema.co,"Ema focuses on providing artificial intelligence (AI) solutions to enterprise productivity across various departments. Its main offering involves a universal AI employee platform that automates complex workflows through conversation and integrates with a multitude of enterprise applications. Ema primarily serves sectors that require automation of repetitive tasks and creative processes, such as customer support, sales, human resources (HR), data analysis, and compliance. It was founded in 2023 and is based in Mountain View, California.",,Series A - II,31/07/2024,61,"AME Cloud Ventures, Accel, Anshu Sharma, Ashish Gupta, Ashutosh Garg, Brian Koo, Cameron Bahar, David Baszucki, Divesh Makan, Dustin Moskovitz, Firebolt Ventures, Frontier Ventures, General Catalyst India, Jerry Yang, Manik Gupta, Matt Zhang, Maum Capital Group, Micky Malka, Prosus Ventures, Rafi Bamdad, Saurabh Gupta, Section 32, Sheryl Sandberg, Shivakumar Venkataraman, Sridhar Ramaswamy, Varsha Rao, Vetri Vellore, Wipro Ventures, Colle Capital Partners, Hitachi Ventures, SCB 10X, Sozo Ventures",,36,,,,804,15/03/2024,United States,,,,,
Glyphic,glyphic.ai,"Glyphic is an AI-powered tool that specializes in automating tasks for sales teams within the technology sector. It offers services such as generating pre-meeting briefs, processing sales calls, and providing insights into deals to optimize sales strategies. Glyphic's AI copilot integrates with CRM systems to synchronize data and qualify leads, streamlining the sales process and enhancing productivity. It was founded in 2022 and is based in London, United Kingdom.",,Pre-Seed,14/06/2023,5.5,"Creator Fund, Dhyan Ventures, Mehdi Ghissassi, Point72 Ventures, Rushin Shah",,5.5,,,,636,15/03/2024,United Kingdom,,,,,
Myko AI,myko.ai,"Myko AI specializes in providing AI-powered insights for sales data analysis within the CRM software domain. The company offers a conversational AI tool that allows users to ask questions and receive instant insights from their Salesforce data, aiming to streamline data analysis and reporting processes. It primarily serves the sales and revenue operations sectors by enabling teams to access and interpret their data. It was founded in 2020 and is based in Miami, Florida.",,Seed VC,26/02/2024,2.7,"AngelList, DayDream Ventures, Khosla Ventures, Zero Knowledge",,2.7,,,,529,15/03/2024,United States,,,,,
Chalk,chalk.ai,"Chalk is a data platform that focuses on machine learning in the technology industry. The company offers services such as real-time data computation, feature storage, monitoring, and predictive maintenance, all aimed at enhancing machine learning processes. Chalk primarily serves sectors such as the credit industry, fraud and risk management, and predictive maintenance. It was founded in 2022 and is based in San Francisco, California.",,Seed VC,12/12/2023,10,"General Catalyst, Unusual Ventures, Xfund",,10,,,,626,15/03/2024,United States,,,,,
Lelapa AI,lelapa.ai,"Lelapa AI specializes in the development of artificial intelligence solutions, with a focus on language services within the technology sector. The company offers transcription and analysis of Africa’s most popular languages and integrates these capabilities into chatbots for nuanced conversations. Lelapa AI primarily caters to businesses seeking to engage with non-English or French-speaking customers in Africa. It was founded in 2022 and is based in Johannesburg, South Africa.",,Seed VC,17/02/2023,2.5,"Atlantica Ventures, Jeff Dean, Karim Beguir, Mozilla Ventures",,2.5,,,,538,15/03/2024,South Africa,,,,,
SuperAGI,superagi.com,"SuperAGI focuses on developing open-source infrastructure for artificial general intelligence (AGI) within the technology and artificial intelligence industry. The company offers a framework for building, managing, and running autonomous agents, providing tools and models that enable developers to create sophisticated agent workflows, augment agents with custom knowledge, and extend agent capabilities with an extensive library of tools. SuperAGI primarily serves the technology and AI development sectors. It was founded in 2023 and is based in Palo Alto, California.",,Series A,11/03/2024,10,"Kae Capital, Newlands Ventures",,10,,,,597,15/03/2024,United States,,,,,
Bifrost,bifrost.ai,"Bifrost develops a synthetic data platform to help artificial intelligence (AI) engineers create their visual data. The company offers virtual worlds and synthetic datasets that artificial intelligence teams use to train AI models for applications in areas such as gaming, the metaverse, mobility, robotics, and more. It primarily serves the technology and gaming industry. The company was founded in 2019 and is based in Singapore.",Virtual worlds & gaming,Seed - II,01/03/2023,0.56,"Peak XV Partners, Hustle Fund, Techstars Starburst Space Accelerator, Consensus Lab, Digital Finance Group, Digital Renaissance, LongHash, NGC Ventures, SNZ Capital, Youbi Capital, Surge",,,,,,401,18/04/2024,Singapore,Virtual worlds & game assets,,,,
Upstage,upstage.ai,"Upstage specializes in artificial intelligence solutions, focusing on document processing and language model technologies within the tech industry. The company offers document processing engines and large language models (LLMs) designed to enhance work efficiency by automating repetitive tasks and improving decision support through generative business intelligence. Upstage's products are tailored for various sectors, including healthcare, finance, and legal industries, providing specialized intelligence and automation capabilities. It was founded in 2020 and is based in Gyeonggi-do, South Korea.",,Series B - III,16/04/2024,98.75,"Company K Partners, SBVA, Stonebridge Ventures, TBT Premier, KT Corporation, SK networks, Hana Ventures, Industrial Bank of Korea, Korea Development Bank, Mirae Asset Venture Investment, Premier Partners, Primer Sazze Partners, Shinhan Venture Investment",,44.91,,,,877,24/04/2024,South Korea,,,,,
Datavolo,datavolo.io,"Datavolo specializes in multimodal data pipelines for the AI sector. Its main offerings include the ability to capture and process data, providing dataflow infrastructure without the need for custom coding. Datavolo primarily serves sectors that require data processing capabilities for artificial intelligence applications. It was founded in 2023 and is based in Peoria, Arizona.",,Series A,02/04/2024,21,"Citi Ventures, General Catalyst, Human Capital, MVP Ventures, Rob Bearden",,21,,,,760,24/04/2024,United States,,,,,
SydeLabs,sydelabs.ai,"SydeLabs focuses on AI security and risk management within the technology sector. The company offers automated red teaming solutions to identify vulnerabilities in AI systems, threat protection, and compliance gap assessments. SydeLabs primarily serves sectors that deploy AI technologies and require robust security measures. It was founded in 2023 and is based in Bengaluru, India. In July 2024, SydeLabs was acquired by Protect AI.",,Seed VC,28/03/2024,2.5,"Kunal Shah, Picus Capital, RTP Global, Sai Srinivas Kiran G, Protect AI",,2.5,Acquired,31/07/2024,Protect AI,,24/04/2024,India,,,,,
Langdock,langdock.com,"Langdock is an AI platform focused on enhancing team productivity within various business sectors. The company offers a suite of tools including a daily chat assistant, AI-powered assistants for teams, and workflow automation capabilities, all designed to integrate seamlessly with existing tools and applications. Langdock's platform is built with a strong emphasis on data security, offering GDPR-compliant services, ISO 27001 certification, and SOC 2 Type 2 compliance. It was founded in 2023 and is based in Berlin, Germany.",,Seed VC,19/04/2024,3.5,"Y Combinator, Erik Muttersbach, General Catalyst, Hanno Renner, Johannes Reck, La Famiglia, Rolf Schromgens",,3,,,,545,24/04/2024,Germany,,,,,
Prem,premai.io,"Prem focuses on accelerating the advent of personalized large language models (LLMs) within the generative AI sector. The company offers a development platform that provides tools for AI model evaluation, monitoring, fine-tuning, and deployment, designed to integrate generative AI into various applications. Prem's main services cater to businesses looking for AI strategy with tailored model fine-tuning and training, as well as access to foundational open source small language models (SLMs) and dedicated GPU clusters for building AI strategies. It was founded in 2023 and is based in Middletown, Delaware.",,Incubator/Accelerator,12/09/2024,14,"Alan Lipschitz, David Maisel, Fan Zhang, Microsoft GrowthX Accelerator",,,,,,706,22/07/2024,United States,,,,,
Claro AI,getclaro.ai,"Claro AI specializes in enhancing artififcial intelligence (AI) products with a focus on understanding and insights within the artificial intelligence sector. The company offers a platform that generates small language models and synthetic data sets to improve user engagement and optimize AI product performance. It was founded in 2024 and is based in Berlin, Germany.",,Pre-Seed,25/01/2024,0.1,Antler,,0.1,,,,358,22/07/2024,Germany,,,,,
Malted AI,malted.ai,"Malted AI specializes in artificial intelligence focusing on knowledge distillation technology for the enterprise sector. It offers enterprise-specific Small Language Models (SLMs) solutions. Malted AI's services are primarily tailored for businesses seeking to enhance their operations with AI, particularly in areas such as search and understanding, report generation, information extraction, and content generation. The company was formerly known as Malt AI and changed its name to Malted AI. It was founded in 2023 and is based in Edinburgh, United Kingdom.",,Seed VC,15/05/2024,8.8,"Creator Fund, Hoxton Ventures",,7.55,,,,647,22/07/2024,United Kingdom,,,,,
Reforged Labs,reforgedlabs.com,"Reforged Labs focuses on the integration of artificial intelligence. The company offers an artificial intelligence (AI) based game level generator that allows the creation of new levels in casual mobile games and also provides personalized in-game experiences that match players' skill levels. Its services are primarily utilized in the gaming industry. The company was founded in 2023 and is based in San Francisco, California.",,Seed VC,05/08/2024,4.4,"Y Combinator, NVIDIA Inception Program, AWS Global Startup program, Asymmetry Ventures, DCM Ventures, Epakon Capital, Goodwater Capital, Phoenix",,3.9,,,,662,06/08/2024,United States,,,,,
DeAgentAI,deagent.ai,"DeAgentAI focuses on developing the AI agent intelligent neural network within the Web3 domain. The company offers an advanced neural network that deciphers user intentions using a proprietary LLM model and AGI system, aiming to surpass the capabilities of existing agent systems. It is based in Los Angeles, California.",,Seed VC,07/08/2024,6,"CatcherVC, GoPlus Security, Higgs Capital, Kernel Labs, PANONY, Tido Capital, UXLINK, Vertex Labs, Waterdrip Capital, Web3.com Ventures",,6,,,,571,09/08/2024,United States,,,,,
Tinybio,tinybio.cloud,"Tinybio is a genomic generative AI company specializing in life science research tools and bioinformatics. The company offers a suite of AI tools that enable scientists to conduct research by providing services such as data analysis automation, code debugging, and support for various scientific data types. It was founded in 2023 and is based in New York, New York. In August 2024, Tinybio was acquired by Seqera.",,,,,Seqera,,,Acquired,06/08/2024,Seqera,,09/08/2024,United States,,,,,
ProrataAI,prorata.ai,"ProrataAI specializes in generative AI attribution technology within the artificial intelligence sector. The company provides solutions for tracking copyrighted material, ensuring fair compensation and credit for content owners, and promoting the ethical use of AI. Its technology includes multi-dimensional attribution algorithms and multi-modal applications, available as a service to both small and large generative AI systems. It was founded in 2024 and is based in Pasadena, California.",,Series A,06/08/2024,25,"Idealab, Mayfield, Prime Movers Lab, Revolution Ventures",,25,,,,684,09/08/2024,United States,,,,,
Legartis,legartis.ai,"Legartis is a company that focuses on artificial intelligence (AI) in the legal tech industry. The company offers AI-based solutions for contract review and legal analytics, automating the process of reviewing, analyzing, and managing legal documents. These services primarily cater to legal, sales, and procurement teams in various industries. It was founded in 2017 and is based in Zurich, Switzerland.",,Biz Plan Competition - II,18/03/2020,1.11,"Stampfli Verlag, Thomas Dubendorfer, EIC Accelerator, Startup Autobahn, >>venture>>, Swiss FinteCH, Tenity",,,,,,212,13/08/2024,Switzerland,,,,,
DeepJudge,deepjudge.ai,"DeepJudge focuses on leveraging artificial intelligence to enhance knowledge search capabilities within the legal sector. Its main offerings include an AI-powered search engine that allows legal professionals to intuitively access and leverage institutional knowledge from extensive document libraries using natural language processing. DeepJudge's technology is designed to transform document overload into a strategic advantage by providing intent-based search and AI-predicted metadata, thereby improving service delivery to clients and operational efficiency for legal firms. It was founded in 2021 and is based in Zurich, Switzerland.",,Seed VC,18/06/2024,11.07,"InnoBooster, ETH Zurich, Venture Kick, Coatue, Daniel Sauter, Felix R. Ehrat, Gokul Rajaram, Michele Catasta, Thomas Dubendorfer",,10.7,Spinoff / Spinout,01/01/2021,ETH Zurich,651,13/08/2024,Switzerland,,,,,
LawDroid,lawdroid.com,"LawDroid is a company that focuses on providing artificial intelligence and automation tools for the legal industry. The company offers products that assist in legal research, drafting emails and letters, summarizing documents, and automating law firm operations, all aimed at improving productivity and client experience. LawDroid primarily serves the legal industry. It is based in Long Beach, California.",,,,,VentureLabs,,,,,,,13/08/2024,United States,,,,,
CaseMine,casemine.com,"CaseMine is a legal technology company focused on leveraging artificial intelligence to enhance legal research and case analysis. Its main offerings include an AI-powered legal research platform that assists legal professionals in finding relevant case laws and statutes, and an AI legal assistant named AMICUS that provides strategic guidance and accurate answers to legal queries. The company primarily serves legal professionals seeking efficient research tools and case management solutions. It was founded in 2014 and is based in Noida, India.",,,,,,,,,,,,13/08/2024,India,,,,,
Xayn,xaynet.dev,"Xayn is a company specializing in artificial intelligence, focusing on legal AI solutions and personalized search and recommendation engines within the technology sector. The company offers Noxtua Legal Copilot, a tool for analyzing and generating legal documents, and Xaynia, an AI-driven search and recommendation platform that prioritizes user privacy and real-time learning. Xayn primarily serves sectors that require compliance with high standards of confidentiality and data protection, such as the legal industry and enterprises seeking GDPR-compliant AI solutions. It was founded in 2017 and is based in Berlin, Germany.",,,,,,,,,,,,13/08/2024,Germany,,,,,
Paxton,paxton.ai,"Paxton is a legal assistant AI that helps lawyers learn new areas of the law, quickly draft and compare documents and deepen discovery. It also conducts securities filings and regulatory searches. Paxton has been trained on over 60M+ legal documents including all published federal and state case law as well as all state and federal laws, as well as EDGAR from the SEC. Attorneys can upload their documents, audio and video files, to query or train Paxton. Paxton was founded in 2023 and is based in Palo Alto, California",,Seed VC,19/09/2023,6,"25Madison, AI Fund, Dick Parsons, Gaingels, Identity Ventures, Kyber Knight Capital, Plug and Play Ventures, Voyager Capital, WVV Capital",,6,,,,723,13/08/2024,United States,,,,,
Eve,eve.legal,"Eve focuses on providing artificial intelligence solutions for the legal profession. The company's main offerings include a personalized AI tool that assists with tasks such as document review, case analysis, and legal research, functioning as an additional team member who can be trained and taught. The company primarily serves the legal industry. It was founded in 2023 and is based in San Francisco, California.",,Seed VC,25/10/2023,14,"Lightspeed Venture Partners, Menlo Ventures",,14,,,,805,13/08/2024,United States,,,,,
CallidusAI,callidusai.com,"CallidusAI specializes in legal technology, providing an advanced artificial intelligence platform for the legal industry. Its services include generative AI for legal document drafting, contract review, legal research, and various automation tools designed to enhance attorney productivity and outcomes. The platform caters to law firms and in-house legal teams, offering enterprise-grade solutions tailored to the distinct needs of legal professionals. It was founded in 2023 and is based in San Jose, California.",,,,,,,,,,,349,13/08/2024,United States,,,,,
AI Lawyer,ailawyer.pro,"AI Lawyer is a technology company that specializes in legal assistance through artificial intelligence within the legal sector. The company provides AI-driven solutions to automate legal research and document handling and offers real-time consultations for consumers and legal professionals. AI Lawyer serves a diverse clientele, including individual consumers, lawyers, law firms, and law students, offering tools to streamline legal processes and enhance productivity. It was founded in 2023 and is based in New York, New York.",,,,,,,,,,,540,13/08/2024,United States,,,,,
LawY,lawy.ai,"LawY is an AI legal assistant platform that operates within the legal industry. It provides AI-generated legal answers that are verified by qualified lawyers and aims to combine the efficiency of technology with the precision of human expertise. The platform primarily serves legal professionals and law firms by integrating with LEAP Legal Software. It was founded in 2023 and is based in Sydney, Australia.",,,,,,,,,,,554,13/08/2024,Australia,,,,,
Soluna Cloud,solunacloud.com,"Soluna Cloud specializes in providing sustainable cloud solutions for generative AI, operating within the cloud computing and artificial intelligence industries. The company offers data centers powered by renewable energy, designed to support AI innovation with services such as AI model training, deployment, and access to high-density GPU resources. Soluna Cloud caters to various sectors including finance, healthcare, retail, telecommunications, media and entertainment, manufacturing, federal, and energy industries. It was founded in 2024 and is based in Albany, New York.",,Line of Credit - II,17/07/2024,13.75,"BitOoda, Imperial Capital",,1.25,,,,,23/08/2024,United States,,,,,
PowerML,powerml.co,"PowerML specializes in generative AI technologies, focusing on large language models (LLMs) within the artificial intelligence sector. The company provides a platform that enables engineering teams to build and fine-tune their own LLMs using proprietary data, aiming to enhance AI applications beyond standard prompt-tuning methods. PowerML's services are designed for software engineers, offering a library for creating and deploying AI models with ease, without the concerns of hosting or computational limitations. It was founded in 2022 and is based in Palo Alto, California.",,Unattributed,01/04/2024,24.83,,,24.83,,,,676,23/08/2024,United States,,,,,
Alinia AI,alinia.ai,"Alinia AI focuses on providing an alignment platform for Generative AI within the technology sector. The company offers services that enable enterprises to control, guide, and optimize Large Language Model (LLM) applications to their policies and preferences. Alinia AI's platform is designed to integrate LLMs into enterprise applications by addressing ethical, organizational, and legal standards. It was founded in 2023 and is based in New York, New York.",,Pre-Seed,05/06/2024,4.68,"Clem Delangue, K Fund, Miguel Martinez, Oriol Vinyals, Precursor Ventures, Speedinvest, Thom Wolf, Tom Preston-Werner, Xavier Amatriain",,2.4,,,,609,23/08/2024,United States,,,,,
Fractile,fractile.ai,"Fractile builds chips to run large language model inference in memory. It offers technology that integrates computation with memory enabling inference of complex AI models. Its products primarily aim at sectors that require processing large language models, such as AI research and development. Fractile was formerly known as Neu Edge. It was founded in 2022 and is based in London, United Kingdom.",,Seed VC,18/06/2024,15,"Oxford Science Enterprises, Amar Shah, Cocoa VC, Hermann Hauser, Inovia Capital, Kindred Capital, NATO Innovation Fund, Stan Boland",,15,,,,647,23/08/2024,United Kingdom,,,,,
FriendliAI,friendli.ai,"FriendliAI specializes in generative artificial intelligence infrastructure within the technology sector. The company offers solutions for serving and managing large language models (LLMs) with a focus on performance optimization. It primarily serves the technology scetor. The company was founded in 2021 and is based in Redwood City, California.",,Incubator/Accelerator,28/06/2024,6.74,"Capstone Partners, KB Investment, KB Securities, Global Unicorn Project",,,,,,612,23/08/2024,United States,,,,,
AKASA,akasa.com,"AKASA operates in generative AI solutions within the healthcare revenue cycle management sector. The company offers a platform that provides AI to improve processes such as prior authorization, claim status updates, and clinical documentation handling, aiming to improve efficiency and financial outcomes for healthcare providers. AKASA's technology is distinctively trained on health system-specific clinical data. AKASA was formerly known as Alpha Health. It was founded in 2018 and is based in South San Francisco, California.",,Series C,18/06/2024,205,"Andreessen Horowitz, Costanoa Ventures, Jim Momtazee, Bond",,120,,,,753,23/08/2024,United States,,,,,
REVOX,revox.ai,"REVOX is a platform focused on the creation of decentralized applications (dApps) with artificial intelligence, operating within the blockchain and cryptocurrency sectors. The company provides a framework for building dApps using composable AI agents, enabling smart contract automation and on-chain AI inferences. REVOX's ecosystem is designed to support developers with tools for integrating large language models and decentralized computation resources, as well as offering a mechanism for contributors. It was founded in 2022 and is based in Singapore.",,Seed VC,13/06/2024,6,"0x Consulting Group, 7upDAO, Arweave SCP Ventures, Cointelegraph Accelerator, SevenX Ventures, Skyland Ventures, Taisu Ventures",,6,,,,591,23/08/2024,Singapore,,,,,
Log10,log10.io,"Log10 specializes in AI-powered lifecycle management operations (LLMOps) for language learning models (LLMs) within the technology sector. The company offers a suite of tools for developers to optimize LLM applications by tuning prompts and models, managing data, evaluating accuracy, and fine-tuning throughout the development and production stages. It was founded in 2023 and is based in San Francisco, California.",,Seed VC,24/04/2024,7.2,"Essence Ventures, Quiet Capital, TQ Ventures",,7.2,,,,659,23/08/2024,United States,,,,,
Astrocade,astrocade.com,"Astrocade focuses on the intersection of artificial intelligence and gaming, providing a platform for the creation of games and interactive experiences. The platform leverages generative AI to translate natural language descriptions into fully realized interactive worlds, making game design accessible to a broad audience without the need for technical skills. Astrocade primarily serves individuals and creators interested in game development and interactive content creation. It was founded in 2022 and is based in Los Altos, California.",,Seed VC,11/06/2024,12,"Chaac Ventures, Rogue VC, SaxeCap, AME Cloud Ventures, David Baszucki, Eric Schmidt, Jerry Yang, John Riccitiello, Mike Abbott, NVentures, Niccolo De Masi, The Venture Reality Fund",,12,,,,700,23/08/2024,United States,,,,,
Guide Labs,guidelabs.ai,"Guide Labs specializes in the development of interpretable foundation models within the software development industry. The company's main offerings include large language models (LLMs), classifiers, and text-to-image models that are designed to be explainable and auditable. It provides tools that assist in auditing these models by detecting and correcting errors. It was founded in 2023 and is based in San Francisco, California.",,Unattributed,21/06/2024,9.82,Y Combinator,,9.32,,,,620,23/08/2024,United States,,,,,
